level,exp
1,80
2,90
3,90
4,90
5,90
6,90
7,90
8,90
9,100
10,350
11,355
12,360
13,370
14,375
15,390
16,400
17,450
18,500
19,500
20,1483
21,1844
22,1865
23,1916
24,2043
25,2067
26,2169
27,2437
28,2536
29,2860
30,2995
31,3607
32,3794
33,3876
34,3996
35,4261
36,4289
37,4510
38,4928
39,5086
40,17203
41,19189
42,21484
43,21509
44,23052
45,24627
46,25480
47,26852
48,29068
49,32008
50,33168
51,33332
52,34095
53,35628
54,35929
55,37680
56,38331
57,38878
58,39016
59,41731
60,43128
61,45042
62,45412
63,47152
64,47282
65,47340
66,50487
67,53076
68,54257
69,54405
70,197114
71,310414
72,330204
73,334735
74,348791
75,360389
76,360701
77,362826
78,378632
79,379059
80,408765
81,440713
82,464670
83,467234
84,477970
85,484690
86,509874
87,513879
88,527583
89,532378
90,583801
91,612907
92,643189
93,644274
94,670957
95,678226
96,706678
97,712891
98,749807
99,751452
100,886000
101,3027527
102,3032011
103,3117883
104,3191855
105,3220513
106,3258763
107,3346658
108,3389858
109,3548753
110,3631694
111,3771824
112,3796167
113,3866624
114,3924404
115,4029348
116,4101565
117,4245434
118,4245686
119,4514881
120,4566377
121,4752888
122,4860000
123,5012377
124,5016341
125,5178619
126,5229563
127,5423881
128,5459728
129,6335318
130,6342809
131,6791971
132,7349165
133,7896724
134,8431041
135,8948504
136,9536985
137,10062872
138,10591166
139,11201308
140,11280750
141,11334730
142,11387696
143,11440662
144,11493628
145,11546594
146,11599560
147,11652526
148,11679009
149,11731975
150,11784941
151,11811613
152,11838097
153,11864580
154,11917547
155,11970514
156,12049964
157,12155898
158,12208865
159,12261832
160,12314799
161,12394079
162,12447046
163,12500012
164,12500012
165,12526495
166,12579461
167,12632427
168,12658910
169,12711876
170,12764842
171,12817637
172,12870602
173,12950050
174,13029499
175,13082464
176,13135429
177,13188395
178,13214878
179,13267843
180,13320809
181,13372809
182,13399290
183,13425771
184,13452251
185,13478732
186,13478732
187,13478732
188,13478732
189,13478732
190,13478732
191,13478732
192,13478732
193,13478732
194,13478732
195,13478732
196,13478732
197,13478732
198,13478732
199,13478732
200,13478732
201,13478732
202,13478732
203,13478732
204,13478732
205,13478732
206,13478732
207,13478732
208,13478732
209,13478732
210,13478732
